iter	RMSE
0	107273.5097
1	101854.5293
2	96812.40981
3	92355.5325
4	88572.20613
5	85162.24876
6	81794.6421
7	79025.7786
8	76554.38339
9	74284.42741
10	72590.44542
11	70900.95336
12	68985.03471
13	67483.32368
14	66072.95343
15	64846.17971
16	63707.76479
17	62632.62147
18	61818.56434
19	61098.73345
20	60348.34318
21	59769.45833
22	59171.14277
23	58694.92794
24	57989.49802
25	57500.36478
26	57046.14508
27	56592.4656
28	56219.72824
29	55897.77623
30	55614.53406
31	55323.33391
32	55030.05367
33	54831.95631
34	54576.371
35	54316.36841
36	54094.90035
37	53887.22539
38	53605.67567
39	53310.51528
40	53173.68285
41	53032.86089
42	52849.50901
43	52674.92735
44	52525.99575
45	52373.39987
46	52227.60115
47	52114.18867
48	51791.56792
49	51552.89421
50	51393.08757
51	51299.66839
52	51037.00289
53	50902.56859
54	50742.53692
55	50646.28282
56	50569.23624
57	50455.3747
58	50286.58797
59	50139.47156
60	50009.69687
61	49856.75996
62	49713.86712
63	49641.87499
64	49543.91617
65	49350.84139
66	49226.19638
67	49123.70689
68	49012.67036
69	48925.37892
70	48854.81302
71	48674.44405
72	48602.12664
73	48494.90859
74	48410.99738
75	48324.6929
76	48228.69778
77	48040.04537
78	47977.05595
79	47805.65213
80	47717.19647
81	47626.18376
82	47532.66058
83	47476.384
84	47390.66159
85	47233.21128
86	47157.4886
87	47098.94269
88	47009.36237
89	46881.111
90	46812.53328
91	46742.87303
92	46665.01324
93	46544.26031
94	46463.23093
95	46380.35966
96	46313.98769
97	46251.56083
98	46191.99002
99	46096.3468
100	45935.8664
101	45850.3408
102	45751.43682
103	45694.76422
104	45622.03016
105	45549.28248
106	45468.66456
107	45410.70385
108	45338.76659
109	45267.19142
110	45221.21871
111	45145.29195
112	45103.15229
113	44961.04988
114	44898.88376
115	44852.98011
116	44786.56208
117	44659.26915
118	44590.92377
119	44520.81843
120	44450.74406
121	44403.14443
122	44324.89075
123	44265.64835
124	44220.56571
125	44154.34832
126	44096.24434
127	44034.16742
128	43974.67547
129	43836.77473
130	43777.16961
131	43717.00845
132	43658.42063
133	43591.13939
134	43453.62657
135	43399.50167
136	43356.60937
137	43295.23089
138	43240.51278
139	43190.62199
140	43147.31739
141	43098.61254
142	43022.45221
143	42918.49609
144	42849.3575
145	42784.28069
146	42739.60605
147	42694.17746
148	42652.12661
149	42616.41805
150	42569.32987
151	42511.99389
152	42472.88037
153	42397.12617
154	42357.31527
155	42308.39396
156	42265.141
157	42214.09906
158	42153.3201
159	42057.31218
160	42014.14621
161	41959.01531
162	41901.28968
163	41851.81539
164	41807.69251
165	41758.12559
166	41709.79356
167	41649.87265
168	41612.15026
169	41560.69475
170	41493.78311
171	41444.27297
172	41404.03462
173	41358.35755
174	41328.7487
175	41300.51684
176	41257.2968
177	41227.36322
178	41195.12863
179	41164.99134
180	41125.45981
181	41071.44927
182	41028.76423
183	40996.85443
184	40948.94028
185	40875.01926
186	40845.0697
187	40805.30258
188	40775.16038
189	40740.28981
190	40706.68201
191	40655.91317
192	40618.3903
193	40576.8127
194	40540.87203
195	40501.7362
196	40455.64216
197	40423.1787
198	40385.42566
199	40362.99202
200	40316.1372
201	40270.71417
202	40245.42235
203	40217.23295
204	40188.9391
205	40106.30912
206	40027.90169
207	39987.38337
208	39947.82662
209	39920.80927
210	39881.77188
211	39840.11427
212	39811.75486
213	39786.12873
214	39756.3924
215	39722.54398
216	39693.62655
217	39664.17619
218	39623.04677
219	39590.4306
220	39562.75395
221	39518.3735
222	39494.03131
223	39454.68256
224	39426.37609
225	39397.2226
226	39352.13089
227	39324.80968
228	39296.14365
229	39245.88171
230	39217.47488
231	39197.52671
232	39165.57001
233	39099.36883
234	39069.84178
235	39042.38274
236	39002.29922
237	38971.44398
238	38940.12445
239	38899.44073
240	38873.56125
241	38850.80179
242	38821.06972
243	38780.24314
244	38748.86579
245	38711.09261
246	38665.49613
247	38632.87931
248	38609.05597
249	38580.06074
250	38552.02372
251	38538.33017
252	38497.58396
253	38477.50266
254	38455.87938
255	38431.66294
256	38403.5125
257	38371.66336
258	38347.58041
259	38324.68322
260	38301.84285
261	38270.52547
262	38242.50218
263	38221.82413
264	38175.2992
265	38148.14704
266	38121.19222
267	38089.72278
268	38041.25081
269	38011.76797
270	37986.74894
271	37967.1826
272	37941.23775
273	37917.18071
274	37898.17422
275	37874.07801
276	37848.06318
277	37830.6305
278	37810.58057
279	37783.4321
280	37759.88347
281	37736.166
282	37717.99416
283	37686.25268
284	37655.44308
285	37633.74264
286	37609.7466
287	37576.22498
288	37556.26009
289	37535.26694
290	37503.4132
291	37473.40026
292	37451.08193
293	37418.45091
294	37396.26016
295	37374.97303
296	37349.13149
297	37329.49812
298	37302.57983
299	37272.7716
300	37240.45154
301	37229.91484
302	37207.05985
303	37181.95995
304	37152.22649
305	37127.72319
306	37095.86092
307	37075.12004
308	37048.89783
309	37032.01228
310	37014.67748
311	36996.99771
312	36982.31802
313	36959.6393
314	36932.49639
315	36918.50645
316	36900.79601
317	36883.64908
318	36864.7011
319	36844.65248
320	36824.62272
321	36781.03533
322	36752.47347
323	36701.03369
324	36681.29777
325	36661.48232
326	36638.71886
327	36628.10176
328	36606.05415
329	36578.11023
330	36533.0009
331	36503.42798
332	36474.04847
333	36450.2508
334	36434.41983
335	36386.4928
336	36370.48106
337	36351.78374
338	36330.95311
339	36307.73562
340	36285.2352
341	36263.38156
342	36237.19882
343	36215.52952
344	36193.56665
345	36168.73607
346	36145.7498
347	36126.56293
348	36105.95263
349	36076.37125
350	36056.36245
351	36029.41512
352	35978.50562
353	35964.3561
354	35946.23964
355	35927.96805
356	35901.73475
357	35872.03007
358	35851.50632
359	35830.47483
360	35818.06927
361	35780.75304
362	35763.4335
363	35747.17017
364	35732.35814
365	35713.65165
366	35701.46627
367	35683.74341
368	35663.53327
369	35643.85977
370	35632.1652
371	35615.2647
372	35591.6301
373	35571.76598
374	35552.4816
375	35535.10195
376	35510.85155
377	35498.77516
378	35476.49748
379	35458.83672
380	35435.58791
381	35425.65573
382	35411.84887
383	35396.64778
384	35363.60228
385	35345.73508
386	35327.89434
387	35309.50199
388	35290.97158
389	35267.941
390	35251.04905
391	35230.51023
392	35199.16396
393	35182.70569
394	35165.59055
395	35150.35397
396	35133.22876
397	35117.58221
398	35100.74799
399	35080.60362
400	35067.05404
401	35055.50366
402	35043.7946
403	35022.19203
404	35008.23005
405	34993.15697
406	34976.55814
407	34963.53334
408	34945.57625
409	34928.97476
410	34917.5232
411	34904.082
412	34890.31484
413	34866.24004
414	34847.4343
415	34831.01537
416	34811.80233
417	34797.39725
418	34773.73086
419	34767.01563
420	34744.73881
421	34722.22313
422	34694.03244
423	34663.90503
424	34646.86796
425	34634.22345
426	34622.90251
427	34604.36633
428	34589.52735
429	34576.52189
430	34566.29551
431	34550.48821
432	34533.8367
433	34514.69681
434	34483.26123
435	34458.63016
436	34445.99601
437	34431.37189
438	34405.4019
439	34368.40649
440	34354.07805
441	34334.71209
442	34309.9969
443	34292.41789
444	34263.9963
445	34249.46716
446	34232.18558
447	34206.86361
448	34184.70347
449	34168.03402
450	34151.96054
451	34134.60923
452	34123.75899
453	34109.98159
454	34091.69525
455	34073.70217
456	34041.62909
457	34027.53055
458	34009.25655
459	33996.46297
460	33978.56638
461	33951.56423
462	33923.78301
463	33905.84507
464	33880.09195
465	33869.03134
466	33858.2498
467	33840.20345
468	33829.30014
469	33804.62203
470	33793.13359
471	33766.7767
472	33729.80913
473	33710.77334
474	33688.30508
475	33675.22872
476	33661.40779
477	33647.53852
478	33625.91119
479	33613.88713
480	33598.6936
481	33586.6717
482	33569.71569
483	33556.59824
484	33539.74018
485	33521.64281
486	33502.90928
487	33492.72596
488	33479.48706
489	33457.86486
490	33440.15251
491	33425.17587
492	33408.57973
493	33382.62157
494	33364.37199
495	33348.69377
496	33337.1385
497	33326.71213
498	33301.54122
499	33291.28919
500	33280.62292
501	33267.31147
