iter	Passed	Remaining
0	3	5118
1	6	4887
2	9	4938
3	12	4857
4	16	4819
5	19	4765
6	22	4713
7	25	4754
8	28	4757
9	31	4754
10	34	4733
11	38	4712
12	41	4751
13	44	4738
14	47	4732
15	50	4722
16	53	4707
17	58	4780
18	61	4769
19	64	4745
20	67	4722
21	70	4716
22	73	4717
23	76	4707
24	79	4693
25	82	4680
26	85	4674
27	88	4678
28	92	4670
29	95	4658
30	98	4646
31	101	4650
32	104	4653
33	107	4641
34	110	4636
35	113	4626
36	116	4621
37	120	4622
38	123	4613
39	126	4604
40	129	4595
41	132	4591
42	136	4610
43	139	4604
44	142	4600
45	145	4593
46	148	4594
47	151	4589
48	154	4587
49	157	4581
50	161	4575
51	164	4575
52	167	4569
53	170	4564
54	173	4558
55	176	4554
56	179	4550
57	182	4541
58	185	4541
59	189	4545
60	192	4540
61	195	4532
62	198	4529
63	201	4528
64	204	4521
65	207	4517
66	211	4514
67	214	4509
68	217	4508
69	220	4504
70	223	4498
71	226	4497
72	229	4490
73	232	4487
74	236	4484
75	239	4480
76	242	4475
77	245	4470
78	248	4470
79	251	4468
80	254	4464
81	258	4463
82	261	4459
83	264	4459
84	267	4454
85	270	4452
86	273	4446
87	276	4440
88	279	4433
89	282	4430
90	285	4426
91	288	4419
92	291	4415
93	294	4411
94	298	4410
95	301	4411
96	304	4408
97	307	4404
98	310	4399
99	314	4399
100	317	4398
101	320	4394
102	323	4389
103	326	4385
104	330	4384
105	333	4380
106	336	4375
107	339	4372
108	342	4368
109	345	4364
110	348	4364
111	351	4360
112	355	4357
113	358	4352
114	361	4351
115	364	4347
116	367	4342
117	370	4339
118	373	4335
119	376	4334
120	380	4335
121	384	4338
122	387	4334
123	390	4329
124	393	4328
125	396	4325
126	399	4319
127	402	4313
128	405	4310
129	409	4310
130	412	4306
131	415	4303
132	418	4299
133	421	4295
134	424	4295
135	427	4292
136	431	4289
137	434	4285
138	437	4281
139	440	4280
140	443	4276
141	446	4272
142	449	4268
143	453	4265
144	456	4262
145	459	4258
146	462	4255
147	465	4251
148	468	4246
149	471	4244
150	475	4249
151	478	4247
152	482	4244
153	485	4240
154	488	4238
155	491	4235
156	494	4230
157	497	4226
158	500	4225
159	504	4223
160	507	4219
161	510	4215
162	513	4210
163	517	4212
164	520	4209
165	523	4206
166	526	4201
167	529	4198
168	532	4194
169	535	4191
170	538	4188
171	541	4183
172	545	4181
173	548	4177
174	551	4173
175	554	4170
176	557	4166
177	560	4164
178	563	4159
179	566	4155
180	569	4152
181	572	4148
182	576	4145
183	579	4141
184	582	4138
185	585	4135
186	588	4131
187	592	4132
188	595	4128
189	598	4124
190	601	4121
191	604	4117
192	607	4115
193	610	4111
194	613	4107
195	617	4105
196	620	4102
197	623	4102
198	626	4098
199	630	4095
200	633	4093
201	636	4090
202	639	4086
203	642	4083
204	645	4079
205	649	4078
206	652	4075
207	655	4072
208	658	4067
209	661	4063
210	664	4062
211	668	4059
212	671	4055
213	674	4052
214	677	4047
215	680	4044
216	683	4042
217	686	4038
218	689	4034
219	692	4030
220	695	4027
221	699	4025
222	702	4023
223	705	4020
224	708	4016
225	712	4013
226	715	4011
227	718	4006
228	721	4003
229	724	3999
230	727	3996
231	730	3992
232	733	3988
233	736	3985
234	739	3980
235	742	3977
236	746	3975
237	749	3972
238	752	3968
239	755	3964
240	758	3961
241	762	3961
242	765	3958
243	768	3954
244	771	3951
245	774	3947
246	777	3945
247	780	3941
248	783	3938
249	786	3934
250	789	3931
251	793	3928
252	796	3925
253	799	3921
254	802	3918
255	805	3915
256	809	3913
257	812	3910
258	815	3907
259	818	3904
260	821	3900
261	824	3897
262	827	3894
