iter	Logloss
0	0.6879759224
1	0.6822612622
2	0.677100096
3	0.6726055983
4	0.6676598724
5	0.6620756307
6	0.65765821
7	0.6527675435
8	0.6476489551
9	0.6431726232
10	0.6384675068
11	0.6340707573
12	0.6298480559
13	0.6271792246
14	0.6231855207
15	0.6193955101
16	0.6154650354
17	0.6122033838
18	0.6085311675
19	0.6049776989
20	0.6012958287
21	0.5989328682
22	0.5950881134
23	0.5916649698
24	0.5896542474
25	0.5858175541
26	0.5838911824
27	0.5806444235
28	0.5776962992
29	0.5756349608
30	0.5725713846
31	0.569275358
32	0.5670969877
33	0.5639775557
34	0.5611871588
35	0.5579176026
36	0.5552369894
37	0.552415911
38	0.5496499948
39	0.5465808438
40	0.5441204278
41	0.5412233303
42	0.538862025
43	0.5359182235
44	0.5344642053
45	0.5318741402
46	0.5296334389
47	0.527880229
48	0.5254752597
49	0.5235408442
50	0.521470242
51	0.5197963852
52	0.5177976877
53	0.5164257914
54	0.5145089858
55	0.5123364224
56	0.5102983199
57	0.5093251713
58	0.5082150468
59	0.5071942905
60	0.5062777483
61	0.5044073531
62	0.5024444481
63	0.5009581612
64	0.4995308011
65	0.497907489
66	0.4962598368
67	0.4944249977
68	0.4932507261
69	0.4917555936
70	0.4902228476
71	0.4886042759
72	0.4870185411
73	0.485134318
74	0.4835775804
75	0.4823760152
76	0.4815453152
77	0.4798574075
78	0.4785127462
79	0.4773903505
80	0.4759419378
81	0.4753625602
82	0.4742914004
83	0.4737342197
84	0.4726927696
85	0.4711896723
86	0.4701207917
87	0.4687162622
88	0.4671821927
89	0.4662871686
90	0.4654158908
91	0.4649450865
92	0.4642059657
93	0.4628674347
94	0.4616060228
95	0.4604986077
96	0.4599811146
97	0.4588092712
98	0.4579595235
99	0.4571921243
100	0.4562160119
101	0.4554606011
102	0.4541329853
103	0.4530731912
104	0.4522510927
105	0.4513301375
106	0.4509026746
107	0.450377815
108	0.4500504446
109	0.4491783087
110	0.4483039877
111	0.4478243607
112	0.4473837822
113	0.4463659092
114	0.4460768502
115	0.4454661874
116	0.4444554407
117	0.4434457889
118	0.4426422787
119	0.4418488617
120	0.440945444
121	0.4399949341
122	0.4392682727
123	0.4387490014
124	0.4380205103
125	0.4369784718
126	0.4361364367
127	0.4356184502
128	0.434814322
129	0.434247311
130	0.4335130826
131	0.4331348804
132	0.4322557343
133	0.4315283667
134	0.4307241072
135	0.4302102371
136	0.429348698
137	0.4289303388
138	0.4282468818
139	0.4275335845
140	0.4269532067
141	0.4263662857
142	0.4256314751
143	0.4249185692
