iter	Passed	Remaining
0	1	1881
1	4	2117
2	6	2205
3	8	2206
4	11	2209
5	13	2211
6	14	2112
7	17	2127
8	19	2139
9	21	2169
10	24	2180
11	26	2149
12	28	2155
13	29	2105
14	31	2085
15	33	2055
16	35	2070
17	38	2078
18	39	2062
19	42	2068
20	44	2074
21	45	2041
22	48	2047
23	50	2055
24	51	2022
25	54	2025
26	55	1995
27	57	2001
28	59	1983
29	60	1966
30	63	1972
31	65	1975
32	67	1987
33	69	1983
34	72	1988
35	74	1992
36	76	1995
37	78	1999
38	81	2000
39	83	2003
40	85	2004
41	87	2006
42	90	2008
43	92	2009
44	93	1993
45	96	1996
46	98	1998
47	100	1986
48	102	1988
49	104	1989
50	106	1989
51	109	1988
52	111	1989
53	113	1991
54	116	1994
55	118	1996
56	120	1993
57	121	1975
58	123	1963
59	124	1949
60	125	1936
61	128	1936
62	129	1933
63	131	1925
64	135	1953
65	138	1953
66	140	1953
67	142	1955
68	144	1955
69	147	1955
70	149	1953
71	151	1952
72	153	1950
73	157	1965
74	159	1965
75	161	1964
76	163	1957
77	165	1957
78	167	1957
79	169	1949
80	171	1948
81	173	1937
82	174	1931
83	176	1919
84	178	1917
85	180	1918
86	182	1918
87	185	1919
88	187	1918
89	189	1918
90	191	1916
91	193	1908
92	194	1900
93	196	1897
94	198	1895
95	201	1895
96	202	1889
97	205	1889
98	208	1893
99	210	1890
100	212	1887
101	213	1883
102	216	1881
103	218	1879
104	220	1877
105	222	1875
106	224	1869
107	225	1862
108	226	1852
109	228	1851
110	231	1854
111	233	1853
112	235	1852
113	238	1851
114	239	1842
115	241	1840
116	243	1840
117	246	1839
118	248	1839
119	250	1838
120	252	1837
121	256	1849
122	259	1851
123	262	1854
124	264	1852
125	268	1861
126	274	1888
127	276	1884
128	278	1883
129	281	1880
130	283	1879
131	285	1878
132	287	1876
133	290	1874
134	292	1873
135	294	1871
136	296	1869
137	298	1865
138	303	1877
139	305	1876
140	307	1874
141	310	1874
142	312	1872
143	314	1871
144	317	1870
145	319	1869
146	321	1868
147	324	1866
148	325	1858
149	327	1856
150	329	1852
151	331	1847
152	333	1847
153	336	1846
154	338	1844
155	340	1842
156	342	1839
157	344	1837
158	347	1835
159	348	1831
160	351	1830
161	353	1827
162	355	1825
163	357	1824
164	360	1823
165	361	1817
166	364	1819
167	366	1815
168	368	1814
169	370	1811
170	373	1808
171	375	1806
172	377	1804
173	379	1802
174	381	1800
175	384	1799
176	386	1797
177	387	1791
178	390	1788
179	391	1785
180	393	1782
181	396	1781
182	398	1779
183	400	1774
184	401	1769
185	403	1766
186	405	1764
187	407	1761
188	410	1760
189	412	1758
190	414	1754
191	416	1752
192	418	1751
193	420	1749
194	422	1745
195	425	1743
196	427	1742
197	429	1740
198	431	1738
199	433	1733
200	435	1730
201	437	1728
202	439	1726
203	441	1724
204	444	1722
205	445	1717
206	447	1715
207	450	1713
208	452	1712
209	454	1709
210	456	1708
211	458	1705
212	461	1703
213	463	1701
214	465	1699
215	467	1696
216	469	1694
217	471	1692
218	474	1690
219	476	1688
220	478	1686
221	480	1682
222	482	1680
223	484	1678
224	486	1675
225	488	1672
226	491	1672
227	493	1669
228	494	1664
229	496	1662
230	498	1659
231	500	1656
232	502	1653
233	504	1649
234	506	1647
235	508	1646
236	510	1644
237	513	1643
238	515	1640
239	517	1638
240	519	1635
241	521	1633
242	523	1631
243	525	1629
244	528	1627
245	530	1625
246	532	1622
247	534	1620
248	536	1618
249	538	1616
250	540	1614
251	543	1611
252	544	1607
253	546	1605
254	548	1603
255	551	1601
256	553	1600
257	555	1598
258	557	1596
259	560	1594
260	562	1592
261	564	1590
262	566	1588
263	569	1586
264	570	1583
265	573	1581
266	575	1580
267	577	1578
268	579	1574
269	581	1571
270	583	1569
271	585	1568
272	588	1566
273	590	1563
274	592	1561
275	594	1559
276	596	1555
277	598	1553
278	600	1551
279	602	1548
280	604	1546
281	606	1544
282	608	1542
283	611	1540
284	613	1538
285	615	1536
286	616	1532
287	618	1530
288	621	1528
289	623	1525
290	624	1522
291	626	1520
292	629	1517
293	631	1515
294	633	1513
295	635	1511
296	637	1509
297	639	1507
298	641	1504
299	644	1503
300	646	1501
301	648	1498
302	650	1496
303	652	1493
304	654	1491
305	656	1489
306	659	1487
307	660	1483
308	661	1479
309	663	1477
310	665	1474
311	668	1473
312	670	1471
313	672	1468
314	673	1464
315	675	1462
316	677	1460
317	680	1458
318	682	1456
319	684	1454
320	686	1453
321	689	1451
322	690	1447
323	693	1446
324	695	1443
325	697	1442
326	699	1438
327	701	1437
328	703	1434
329	705	1432
330	706	1428
331	708	1426
332	711	1424
333	713	1422
334	715	1420
335	717	1418
336	720	1416
337	722	1414
338	724	1411
339	726	1409
340	728	1407
341	730	1405
342	732	1403
343	734	1401
344	737	1399
345	739	1397
346	741	1395
347	743	1393
348	745	1390
349	747	1388
350	749	1385
351	751	1384
352	753	1381
353	756	1379
354	757	1377
355	760	1374
356	761	1371
357	763	1369
358	765	1367
359	768	1365
360	770	1363
361	772	1361
362	774	1359
363	776	1357
364	779	1355
365	781	1353
366	783	1351
367	785	1349
368	788	1347
369	790	1345
370	792	1343
371	794	1341
372	796	1339
373	798	1337
374	800	1334
375	803	1333
376	805	1330
377	806	1327
378	808	1325
379	811	1323
380	813	1321
381	815	1319
382	817	1317
383	819	1315
384	822	1313
385	824	1311
386	826	1309
387	829	1307
388	831	1305
389	832	1302
390	835	1300
391	837	1298
392	839	1296
393	841	1293
394	843	1291
395	845	1289
396	847	1286
397	849	1284
398	851	1282
399	853	1280
400	855	1278
401	858	1276
402	860	1274
403	862	1272
404	864	1270
405	867	1268
406	869	1266
407	871	1264
408	873	1262
409	876	1260
410	878	1258
411	880	1257
412	882	1254
413	885	1252
414	887	1250
415	889	1248
416	891	1246
417	893	1243
418	895	1241
419	897	1239
420	899	1236
421	901	1234
422	903	1232
423	905	1229
424	907	1227
425	909	1225
426	911	1223
427	914	1221
428	916	1219
429	917	1216
430	920	1214
431	922	1212
432	923	1209
433	925	1207
434	928	1205
435	930	1203
436	932	1201
437	934	1199
438	936	1197
439	939	1195
440	941	1193
441	943	1190
442	945	1188
443	947	1186
444	949	1184
445	951	1182
446	954	1180
447	956	1178
448	958	1175
449	960	1173
450	962	1171
451	963	1168
452	965	1165
453	966	1162
454	967	1159
455	969	1157
456	972	1155
457	973	1151
458	975	1149
459	977	1147
460	979	1145
461	982	1143
462	983	1140
463	985	1138
464	987	1136
465	989	1134
466	992	1132
467	994	1130
468	996	1128
469	999	1126
470	1001	1124
471	1003	1122
472	1005	1120
473	1008	1118
474	1010	1116
475	1012	1114
476	1014	1112
477	1016	1110
478	1018	1107
479	1020	1105
480	1023	1103
481	1025	1102
482	1028	1100
483	1029	1097
484	1031	1095
485	1034	1093
486	1036	1091
487	1038	1089
488	1040	1087
489	1042	1084
490	1044	1082
491	1046	1080
492	1048	1078
493	1050	1076
494	1053	1074
495	1055	1072
496	1057	1070
497	1059	1068
498	1061	1066
499	1063	1063
500	1065	1061
501	1067	1059
502	1069	1057
503	1072	1055
504	1074	1053
505	1076	1051
506	1078	1049
507	1081	1047
508	1083	1045
509	1085	1042
510	1087	1040
511	1089	1038
512	1091	1036
513	1094	1034
514	1096	1032
515	1098	1030
516	1100	1028
517	1102	1025
518	1104	1023
519	1106	1021
520	1109	1019
521	1110	1017
522	1112	1014
523	1115	1013
524	1117	1010
525	1119	1008
526	1121	1006
527	1124	1005
528	1126	1003
529	1129	1001
530	1131	999
531	1133	997
532	1135	995
533	1138	993
534	1140	991
535	1142	988
536	1144	986
537	1146	984
538	1149	982
539	1151	980
540	1153	978
541	1155	976
542	1157	974
543	1159	971
544	1161	969
545	1163	967
546	1165	965
547	1167	962
548	1169	960
549	1171	958
550	1173	956
551	1176	954
552	1178	952
553	1180	950
554	1182	948
555	1184	946
556	1186	943
557	1188	941
558	1190	939
559	1193	937
560	1195	935
561	1197	933
562	1199	931
563	1202	929
564	1204	927
565	1206	925
566	1208	923
567	1211	921
568	1213	919
569	1215	916
570	1217	914
571	1219	912
572	1221	910
573	1223	907
574	1225	905
575	1227	903
576	1229	901
577	1232	899
578	1234	897
579	1236	895
580	1239	893
581	1241	891
582	1243	889
583	1245	887
584	1248	885
585	1250	883
586	1252	881
587	1254	879
588	1256	877
589	1259	875
590	1261	873
591	1263	871
592	1265	868
593	1267	866
594	1269	864
595	1272	862
596	1274	860
597	1276	858
598	1278	856
599	1281	854
600	1282	851
601	1284	849
602	1286	846
603	1288	844
604	1290	842
605	1292	840
606	1294	838
607	1297	836
608	1299	834
609	1301	832
610	1302	829
611	1305	827
612	1307	825
613	1309	823
614	1312	821
615	1314	819
616	1316	817
617	1318	814
618	1320	812
619	1322	810
620	1324	808
621	1327	806
622	1328	804
623	1331	802
624	1333	800
625	1335	797
626	1338	795
627	1340	793
628	1342	791
629	1344	789
630	1347	787
631	1349	785
632	1351	783
633	1353	781
634	1355	779
635	1358	777
636	1360	775
637	1362	773
638	1365	771
639	1367	768
640	1369	766
641	1371	764
642	1373	762
643	1375	760
644	1377	758
645	1380	756
646	1382	754
647	1384	752
648	1386	750
649	1389	748
650	1391	745
651	1393	743
652	1396	741
653	1398	739
654	1399	737
655	1402	735
656	1404	733
657	1406	731
658	1408	728
659	1410	726
660	1412	724
661	1415	722
662	1417	720
663	1419	718
664	1421	716
665	1424	714
666	1426	712
667	1428	709
668	1430	707
669	1432	705
670	1435	703
671	1437	701
672	1439	699
673	1441	697
674	1444	695
675	1446	693
676	1447	690
677	1450	688
678	1452	686
679	1454	684
680	1457	682
681	1459	680
682	1461	678
683	1463	676
684	1466	674
685	1468	672
686	1470	669
687	1472	667
688	1474	665
689	1477	663
690	1478	661
691	1480	659
692	1483	657
693	1485	654
694	1487	652
695	1489	650
696	1491	648
697	1494	646
698	1496	644
699	1498	642
700	1500	640
701	1502	637
702	1504	635
703	1507	633
704	1509	631
705	1511	629
706	1513	627
707	1516	625
708	1518	623
709	1520	621
710	1522	618
711	1524	616
712	1526	614
713	1528	612
714	1530	610
715	1533	608
716	1535	606
717	1537	603
718	1539	601
