ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,black_friday,black_friday_lower,black_friday_upper,christmas_shopping,christmas_shopping_lower,christmas_shopping_upper,cyber_monday,cyber_monday_lower,cyber_monday_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,new_year,new_year_lower,new_year_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2010-12-01,27298.341904571098,29974.88773421233,52714.650745511775,27298.341904571098,27298.341904571098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517892671205729,0.517892671205729,0.517892671205729,0.0,0.0,0.0,0.018194041285164178,0.018194041285164178,0.018194041285164178,0.4996986299205649,0.4996986299205649,0.4996986299205649,0.0,0.0,0.0,41435.95311301671
2010-12-02,27303.18634583934,36422.00582817635,60165.90136540039,27303.18634583934,27303.18634583934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7781736509587506,0.7781736509587506,0.7781736509587506,0.0,0.0,0.0,0.30616874699993346,0.30616874699993346,0.30616874699993346,0.4720049039588171,0.4720049039588171,0.4720049039588171,0.0,0.0,0.0,48549.80654738825
2010-12-03,27308.030787107582,24474.935184158247,49263.1332625533,27308.030787107582,27308.030787107582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3539992538189989,0.3539992538189989,0.3539992538189989,0.0,0.0,0.0,-0.08741452837678773,-0.08741452837678773,-0.08741452837678773,0.44141378219578664,0.44141378219578664,0.44141378219578664,0.0,0.0,0.0,36975.05330900991
2010-12-05,27317.71966964407,12286.010529067269,35696.83441180595,27317.71966964407,27317.71966964407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09188454668246548,-0.09188454668246548,-0.09188454668246548,0.0,0.0,0.0,-0.46363409868759575,-0.46363409868759575,-0.46363409868759575,0.37174955200513027,0.37174955200513027,0.37174955200513027,0.0,0.0,0.0,24807.643381400154
2010-12-06,27322.564110912313,24053.518112726106,48745.14490523174,27322.564110912313,27322.564110912313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31263387045931196,0.31263387045931196,0.31263387045931196,0.0,0.0,0.0,-0.020286223357601052,-0.020286223357601052,-0.020286223357601052,0.332920093816913,0.332920093816913,0.332920093816913,0.0,0.0,0.0,35864.523079779516
2010-12-07,27327.408552180557,25175.079022094058,49332.66849298901,27327.408552180557,27327.408552180557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34639426368856885,0.34639426368856885,0.34639426368856885,0.0,0.0,0.0,0.05470919881250244,0.05470919881250244,0.05470919881250244,0.29168506487606644,0.29168506487606644,0.29168506487606644,0.0,0.0,0.0,36793.46611612984
2010-12-08,27332.2529934488,22823.272164580503,46219.01478265038,27332.2529934488,27332.2529934488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665064733116968,0.2665064733116968,0.2665064733116968,0.0,0.0,0.0,0.01819404128310831,0.01819404128310831,0.01819404128310831,0.2483124320285885,0.2483124320285885,0.2483124320285885,0.0,0.0,0.0,34616.47534639591
2010-12-09,27337.09743471704,29110.118228818745,52747.870343372626,27337.09743471704,27337.09743471704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092961124490223,0.5092961124490223,0.5092961124490223,0.0,0.0,0.0,0.3061687470002534,0.3061687470002534,0.3061687470002534,0.2031273654487688,0.2031273654487688,0.2031273654487688,0.0,0.0,0.0,41259.77488385857
2010-12-10,27341.941875985285,16670.300725835332,41460.581512054996,27341.941875985285,27341.941875985285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06909448975956528,0.06909448975956528,0.06909448975956528,0.0,0.0,0.0,-0.08741452837696048,-0.08741452837696048,-0.08741452837696048,0.15650901813652573,0.15650901813652573,0.15650901813652573,0.0,0.0,0.0,29231.11939894218
2010-12-12,27351.63075852177,4160.110212855277,28272.14447775263,27351.63075852177,27351.63075852177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40290572793094,-0.40290572793094,-0.40290572793094,0.0,0.0,0.0,-0.4636340986882936,-0.4636340986882936,-0.4636340986882936,0.06072837075735359,0.06072837075735359,0.06072837075735359,0.0,0.0,0.0,16331.502057661266
